1602182834
Date,Generic (AI_1),FlowMeter Rate (AI_2),FlowMeter Total (AI_2)
,PH,Flow,Flow
,pH,gal/min,gal
01/15/2024 18:18:49,     8.78,         8.65,  14977039.00,
01/15/2024 18:23:49,     8.70,         9.61,  14977039.00,
01/15/2024 18:28:49,     8.78,         1.92,  14977039.00,
01/15/2024 18:33:49,     8.80,         6.72,  14977039.00,
01/15/2024 18:38:49,     8.78,         9.61,  14977039.00,
01/15/2024 18:43:49,     8.78,        12.49,  14977039.00,
01/15/2024 18:48:49,     8.80,         6.72,  14977039.00,
01/15/2024 18:53:49,     8.80,         6.72,  14977039.00,
01/15/2024 18:58:49,     8.82,         8.65,  14977039.00,
01/15/2024 19:03:49,     8.95,        20.17,  14977039.00,
01/15/2024 19:08:49,     8.95,        13.45,  14977039.00,
01/15/2024 19:13:49,     9.13,         6.72,  14977039.00,
01/15/2024 19:18:49,     8.84,        11.53,  14977039.00,
01/15/2024 19:23:49,     8.86,        29.78,  14977039.00,
01/15/2024 19:28:49,     8.93,         7.69,  14977039.00,
01/15/2024 19:33:49,     8.82,         6.72,  14977039.00,
01/15/2024 19:38:49,     8.91,         2.88,  14977039.00,
01/15/2024 19:43:49,     8.86,         3.84,  14977039.00,
01/15/2024 19:48:49,     8.93,         9.61,  14977039.00,
01/15/2024 19:53:49,     8.86,         2.88,  14977039.00,
01/15/2024 19:58:49,     8.89,        24.02,  14977039.00,
01/15/2024 20:03:49,     8.93,        27.86,  14977039.00,
01/15/2024 20:08:49,     8.99,         4.80,  14977039.00,
01/15/2024 20:13:49,     8.74,        14.41,  14977039.00,
01/15/2024 20:18:49,     8.86,        31.70,  14977039.00,
01/15/2024 20:23:49,     8.89,         2.88,  14977039.00,
01/15/2024 20:28:49,     8.82,         6.72,  14977039.00,
01/15/2024 20:33:49,     8.86,         8.65,  14977039.00,
01/15/2024 20:38:49,     8.86,        16.33,  14977039.00,
01/15/2024 20:43:49,     8.95,         7.69,  14977039.00,
01/15/2024 20:48:49,     8.89,        24.02,  14977039.00,
01/15/2024 20:53:49,     8.62,         7.69,  14977039.00,
01/15/2024 20:58:49,     8.78,        18.25,  14977039.00,
01/15/2024 21:03:49,     8.99,         9.61,  14977039.00,
01/15/2024 21:08:50,     8.89,        11.53,  14977039.00,
01/15/2024 21:13:51,     9.07,        29.78,  14977039.00,
01/15/2024 21:18:51,     8.99,        17.29,  14977039.00,
01/15/2024 21:23:51,     8.97,         4.80,  14977039.00,
01/15/2024 21:28:51,     8.78,        16.33,  14977039.00,
01/15/2024 21:33:51,     8.91,        15.37,  14977039.00,
01/15/2024 21:38:51,     8.91,         3.84,  14977039.00,
01/15/2024 21:43:51,     8.97,         6.72,  14977039.00,
01/15/2024 21:48:51,     8.84,         5.76,  14977039.00,
01/15/2024 21:53:51,     8.99,        10.57,  14977039.00,
01/15/2024 21:58:51,     8.93,         5.76,  14977039.00,
01/15/2024 22:03:51,     8.86,         4.80,  14977039.00,
01/15/2024 22:08:51,     8.82,        19.21,  14977039.00,
01/15/2024 22:13:51,     8.82,         5.76,  14977039.00,
01/15/2024 22:18:51,     8.89,         7.69,  14977039.00,
01/15/2024 22:23:51,     8.91,        12.49,  14977039.00,
01/15/2024 22:28:51,     8.86,        12.49,  14977039.00,
01/15/2024 22:33:51,     8.99,        18.25,  14977039.00,
01/15/2024 22:38:51,     8.97,        44.19,  14977042.00,
01/15/2024 22:43:51,     9.01,         3.84,  14977042.00,
01/15/2024 22:48:51,     8.93,        17.29,  14977042.00,
01/15/2024 22:53:51,     8.95,        29.78,  14977083.00,
01/15/2024 22:58:51,     9.01,        24.02,  14977083.00,
01/15/2024 23:03:51,     8.91,         5.76,  14977083.00,
01/15/2024 23:08:51,     8.91,        14.41,  14977083.00,
01/15/2024 23:13:51,     8.91,        13.45,  14977083.00,
01/15/2024 23:18:51,     9.01,        16.33,  14977083.00,
01/15/2024 23:23:51,     8.95,         9.61,  14977083.00,
01/15/2024 23:28:51,     8.91,        10.57,  14977083.00,
01/15/2024 23:33:51,     8.95,        14.41,  14977083.00,
01/15/2024 23:38:51,     8.91,        23.06,  14977083.00,
01/15/2024 23:43:51,     8.93,        18.25,  14977083.00,
01/15/2024 23:48:51,     8.95,         9.61,  14977083.00,
01/15/2024 23:53:51,     8.95,        16.33,  14977083.00,
01/15/2024 23:58:51,     9.01,        23.06,  14977083.00,
01/16/2024 00:03:51,     8.97,         5.76,  14977083.00,
01/16/2024 00:08:51,     8.89,        11.53,  14977083.00,
01/16/2024 00:13:51,     8.97,        28.82,  14977083.00,
01/16/2024 00:18:51,     9.01,        24.02,  14977083.00,
01/16/2024 00:23:51,     8.99,         3.84,  14977083.00,
01/16/2024 00:28:51,     8.78,         9.61,  14977083.00,
01/16/2024 00:33:51,     8.82,         7.69,  14977083.00,
01/16/2024 00:38:51,     8.99,        10.57,  14977083.00,
01/16/2024 00:43:52,     8.89,         2.88,  14977083.00,
01/16/2024 00:48:52,     8.86,         5.76,  14977083.00,
01/16/2024 00:53:52,     9.05,         2.88,  14977083.00,
01/16/2024 00:58:52,     8.84,         4.80,  14977083.00,
01/16/2024 01:03:52,     8.91,         9.61,  14977083.00,
01/16/2024 01:08:52,     8.80,        15.37,  14977083.00,
01/16/2024 01:13:52,     8.76,         1.92,  14977083.00,
01/16/2024 01:18:52,     8.84,        11.53,  14977083.00,
01/16/2024 01:23:52,     8.76,        20.17,  14977083.00,
01/16/2024 01:28:52,     8.84,        13.45,  14977083.00,
01/16/2024 01:33:52,     8.70,        10.57,  14977083.00,
01/16/2024 01:38:52,     8.76,         6.72,  14977083.00,
01/16/2024 01:43:52,     8.84,        17.29,  14977083.00,
01/16/2024 01:48:52,     8.74,        15.37,  14977083.00,
01/16/2024 01:53:52,     8.74,        10.57,  14977083.00,
01/16/2024 01:58:52,     8.93,        23.06,  14977083.00,
01/16/2024 02:03:52,     8.93,         1.92,  14977083.00,
01/16/2024 02:08:52,     8.78,        14.41,  14977083.00,
01/16/2024 02:13:52,     8.80,        29.78,  14977083.00,
01/16/2024 02:18:52,     8.80,         2.88,  14977083.00,
01/16/2024 02:23:52,     8.89,         9.61,  14977083.00,
01/16/2024 02:28:52,     8.89,        10.57,  14977083.00,
01/16/2024 02:33:52,     8.91,         7.69,  14977083.00,
01/16/2024 02:38:52,     8.86,        13.45,  14977083.00,
01/16/2024 02:43:52,     8.82,        15.37,  14977083.00,
01/16/2024 02:48:52,     8.82,        15.37,  14977083.00,
01/16/2024 02:53:52,     8.86,         5.76,  14977083.00,
01/16/2024 02:58:52,     8.82,         4.80,  14977083.00,
01/16/2024 03:03:52,     8.82,        22.10,  14977083.00,
01/16/2024 03:08:52,     8.80,         8.65,  14977083.00,
01/16/2024 03:13:52,     8.97,         4.80,  14977083.00,
01/16/2024 03:18:52,     8.89,         4.80,  14977083.00,
01/16/2024 03:23:52,     8.86,         6.72,  14977083.00,
01/16/2024 03:28:52,     8.99,         4.80,  14977083.00,
01/16/2024 03:33:52,     8.95,         4.80,  14977083.00,
01/16/2024 03:38:52,     8.78,         4.80,  14977083.00,
01/16/2024 03:43:52,     8.76,         9.61,  14977083.00,
01/16/2024 03:48:52,     8.91,         8.65,  14977083.00,
01/16/2024 03:53:52,     8.76,        15.37,  14977083.00,
01/16/2024 03:58:52,     8.84,         7.69,  14977083.00,
01/16/2024 04:03:52,     8.99,         5.76,  14977083.00,
01/16/2024 04:08:52,     9.11,        24.98,  14977083.00,
01/16/2024 04:13:52,     8.95,         9.61,  14977083.00,
01/16/2024 04:18:52,     8.78,         9.61,  14977083.00,
01/16/2024 04:23:52,     8.91,        33.62,  14977083.00,
01/16/2024 04:28:52,     9.11,        16.33,  14977083.00,
01/16/2024 04:33:52,     8.89,        13.45,  14977083.00,
01/16/2024 04:38:52,     9.07,        29.78,  14977083.00,
01/16/2024 04:43:52,     8.91,        19.21,  14977083.00,
01/16/2024 04:48:52,     9.05,        42.27,  14977106.00,
01/16/2024 04:53:52,     8.93,        11.53,  14977106.00,
01/16/2024 04:58:52,     8.99,         3.84,  14977106.00,
01/16/2024 05:03:52,     8.95,        29.78,  14977106.00,
01/16/2024 05:08:52,     8.86,        26.90,  14977125.00,
01/16/2024 05:13:52,     8.93,         8.65,  14977125.00,
01/16/2024 05:18:52,     8.78,         9.61,  14977125.00,
01/16/2024 05:23:52,     8.76,        12.49,  14977125.00,
01/16/2024 05:28:52,     8.84,        11.53,  14977125.00,
01/16/2024 05:33:52,     8.82,        14.41,  14977125.00,
01/16/2024 05:38:52,     8.97,        14.41,  14977125.00,
01/16/2024 05:43:52,     8.95,        24.02,  14977125.00,
01/16/2024 05:48:52,     8.76,        28.82,  14977125.00,
01/16/2024 05:53:52,     8.91,         7.69,  14977125.00,
01/16/2024 05:58:52,     8.89,        12.49,  14977125.00,
01/16/2024 06:03:52,     8.93,        26.90,  14977125.00,
01/16/2024 06:08:52,     8.78,        12.49,  14977125.00,
01/16/2024 06:13:52,     9.05,         3.84,  14977125.00,
01/16/2024 06:18:52,     8.99,         1.92,  14977125.00,
01/16/2024 06:23:52,     8.95,         8.65,  14977125.00,
01/16/2024 06:28:52,     8.91,         7.69,  14977125.00,
01/16/2024 06:33:52,     9.15,         7.69,  14977125.00,
01/16/2024 06:38:52,     9.01,        11.53,  14977125.00,
01/16/2024 06:43:52,     8.80,        10.57,  14977125.00,
01/16/2024 06:48:52,     8.76,        16.33,  14977125.00,
01/16/2024 06:53:52,     8.91,        11.53,  14977125.00,
01/16/2024 06:58:52,     8.76,         4.80,  14977125.00,
01/16/2024 07:03:52,     8.76,        13.45,  14977125.00,
01/16/2024 07:08:52,     8.89,        16.33,  14977125.00,
01/16/2024 07:13:52,     8.72,         6.72,  14977125.00,
01/16/2024 07:18:52,     8.58,         5.76,  14977125.00,
01/16/2024 07:23:52,     8.91,         2.88,  14977125.00,
01/16/2024 07:28:52,     8.74,         5.76,  14977125.00,
01/16/2024 07:33:52,     8.72,         9.61,  14977125.00,
01/16/2024 07:38:52,     8.72,         4.80,  14977125.00,
01/16/2024 07:43:52,     8.68,         1.92,  14977125.00,
01/16/2024 07:48:52,     8.64,        13.45,  14977125.00,
01/16/2024 07:53:52,     8.82,         1.92,  14977125.00,
01/16/2024 07:58:52,     8.78,         2.88,  14977125.00,
01/16/2024 08:03:52,     8.82,         7.69,  14977125.00,
01/16/2024 08:08:52,     8.72,         3.84,  14977125.00,
01/16/2024 08:13:52,     8.76,         6.72,  14977125.00,
01/16/2024 08:18:52,     8.89,        45.15,  14977177.00,
01/16/2024 08:23:52,     8.84,        18.25,  14977177.00,
01/16/2024 08:28:52,     9.09,        68.21,  14977196.00,
01/16/2024 08:33:52,     8.68,        22.10,  14977264.00,
01/16/2024 08:38:52,     8.91,        29.78,  14977389.00,
01/16/2024 08:43:52,     8.93,         5.76,  14977389.00,
01/16/2024 08:48:52,     8.78,         0.96,  14977389.00,
01/16/2024 08:53:52,     8.68,        19.21,  14977389.00,
01/16/2024 08:58:53,     8.68,         6.72,  14977389.00,
01/16/2024 09:03:54,     8.70,        21.14,  14977542.00,
01/16/2024 09:08:54,     8.72,         4.80,  14977542.00,
01/16/2024 09:13:54,     7.95,        13.45,  14977542.00,
01/16/2024 09:18:54,     8.33,         3.84,  14977542.00,
01/16/2024 09:23:54,     8.44,         8.65,  14977542.00,
01/16/2024 09:28:54,     8.62,         3.84,  14977542.00,
01/16/2024 09:33:54,     8.21,         5.76,  14977542.00,
01/16/2024 09:38:54,     8.25,        13.45,  14977542.00,
01/16/2024 09:43:54,     8.44,        18.25,  14977542.00,
01/16/2024 09:48:54,     8.50,        74.93,  14977553.00,
01/16/2024 09:53:54,     8.58,        87.42,  14977736.00,
01/16/2024 09:58:54,     8.58,         2.88,  14977749.00,
01/16/2024 10:03:54,     8.84,        10.57,  14977928.00,
01/16/2024 10:08:54,     8.95,        46.11,  14978033.00,
01/16/2024 10:13:54,     8.74,        12.49,  14978082.00,
01/16/2024 10:18:54,     8.86,        18.25,  14978165.00,
01/16/2024 10:23:54,     8.89,        30.74,  14978165.00,
01/16/2024 10:28:54,     8.84,         3.84,  14978165.00,
01/16/2024 10:33:54,     8.91,         5.76,  14978165.00,
01/16/2024 10:38:54,     8.78,        13.45,  14978165.00,
01/16/2024 10:43:54,     8.66,         7.69,  14978165.00,
01/16/2024 10:48:54,     8.64,        11.53,  14978165.00,
01/16/2024 10:53:54,     8.33,        12.49,  14978165.00,
01/16/2024 10:58:54,     8.68,        11.53,  14978165.00,
01/16/2024 11:03:54,     8.64,        18.25,  14978165.00,
01/16/2024 11:08:54,     8.19,        10.57,  14978165.00,
01/16/2024 11:13:54,     8.78,         8.65,  14978165.00,
01/16/2024 11:18:54,     8.76,        36.51,  14978166.00,
01/16/2024 11:23:54,     8.93,         6.72,  14978166.00,
01/16/2024 11:28:54,     8.72,        24.98,  14978166.00,
01/16/2024 11:33:54,     8.91,        36.51,  14978167.00,
01/16/2024 11:38:54,     8.66,        12.49,  14978167.00,
01/16/2024 11:43:54,     8.68,        18.25,  14978167.00,
01/16/2024 11:48:54,     9.03,        23.06,  14978167.00,
01/16/2024 11:53:54,     8.70,        23.06,  14978167.00,
01/16/2024 11:58:54,     8.70,        23.06,  14978167.00,
01/16/2024 12:03:54,     8.99,        11.53,  14978167.00,
01/16/2024 12:08:54,     8.97,         6.72,  14978167.00,
01/16/2024 12:13:54,     8.68,         8.65,  14978167.00,
01/16/2024 12:18:54,     8.84,        10.57,  14978167.00,
01/16/2024 12:23:54,     8.89,        14.41,  14978167.00,
01/16/2024 12:28:54,     8.36,        13.45,  14978167.00,
01/16/2024 12:33:54,     8.48,         8.65,  14978167.00,
01/16/2024 12:38:54,     8.64,        15.37,  14978208.00,
01/16/2024 12:43:54,     8.84,        12.49,  14978208.00,
01/16/2024 12:48:54,     8.86,        30.74,  14978208.00,
01/16/2024 12:53:54,     8.89,         7.69,  14978208.00,
01/16/2024 12:58:54,     8.70,        34.59,  14978208.00,
01/16/2024 13:03:54,     8.70,        44.19,  14978213.00,
01/16/2024 13:08:54,     8.80,         8.65,  14978214.00,
01/16/2024 13:13:54,     8.86,         5.76,  14978214.00,
01/16/2024 13:18:54,     8.82,        11.53,  14978214.00,
01/16/2024 13:23:54,     8.74,        11.53,  14978214.00,
01/16/2024 13:28:54,     8.80,         7.69,  14978214.00,
01/16/2024 13:33:54,     8.93,        11.53,  14978214.00,
01/16/2024 13:38:54,     8.99,        23.06,  14978214.00,
01/16/2024 13:43:54,     8.82,        24.02,  14978214.00,
01/16/2024 13:48:54,     8.70,        46.11,  14978214.00,
01/16/2024 13:53:54,     8.52,        21.14,  14978214.00,
01/16/2024 13:58:54,     8.60,        14.41,  14978214.00,
01/16/2024 14:03:54,     8.95,        20.17,  14978214.00,
01/16/2024 14:08:54,     8.99,         7.69,  14978214.00,
01/16/2024 14:13:54,     8.86,        10.57,  14978214.00,
01/16/2024 14:18:55,     8.99,        15.37,  14978214.00,
01/16/2024 14:23:55,     8.86,        17.29,  14978214.00,
01/16/2024 14:28:55,     8.89,         8.65,  14978214.00,
01/16/2024 14:33:55,     9.01,        33.62,  14978214.00,
01/16/2024 14:38:55,     8.86,         6.72,  14978264.00,
01/16/2024 14:43:55,     8.74,        21.14,  14978264.00,
01/16/2024 14:48:55,     8.91,        23.06,  14978264.00,
01/16/2024 14:53:55,     9.03,        12.49,  14978264.00,
01/16/2024 14:58:55,     8.76,        14.41,  14978264.00,
01/16/2024 15:03:55,     8.97,        38.43,  14978264.00,
01/16/2024 15:08:55,     8.86,         7.69,  14978264.00,
01/16/2024 15:13:55,     8.64,         9.61,  14978264.00,
01/16/2024 15:18:55,     8.97,        11.53,  14978274.00,
01/16/2024 15:23:55,     8.78,        46.11,  14978274.00,
01/16/2024 15:28:55,     8.86,        19.21,  14978274.00,
01/16/2024 15:33:55,     8.66,         7.69,  14978274.00,
01/16/2024 15:38:55,     8.89,         7.69,  14978283.00,
01/16/2024 15:43:55,     8.62,        13.45,  14978283.00,
01/16/2024 15:48:55,     8.40,        16.33,  14978283.00,
01/16/2024 15:53:55,     8.80,        36.51,  14978305.00,
01/16/2024 15:58:55,     8.95,        13.45,  14978305.00,
01/16/2024 16:03:55,     8.78,         3.84,  14978305.00,
01/16/2024 16:08:55,     9.11,        35.55,  14978305.00,
01/16/2024 16:13:55,     8.89,        49.00,  14978305.00,
01/16/2024 16:18:55,     8.97,        14.41,  14978305.00,
01/16/2024 16:23:55,     8.38,        25.94,  14978305.00,
01/16/2024 16:28:55,     8.62,        15.37,  14978305.00,
01/16/2024 16:33:55,     9.01,        18.25,  14978305.00,
01/16/2024 16:38:55,     8.38,        10.57,  14978305.00,
01/16/2024 16:43:55,     8.74,         8.65,  14978305.00,
01/16/2024 16:48:55,     8.93,        14.41,  14978305.00,
01/16/2024 16:53:55,     8.82,         8.65,  14978305.00,
01/16/2024 16:58:55,     8.91,        17.29,  14978305.00,
01/16/2024 17:03:55,     8.84,        25.94,  14978305.00,
01/16/2024 17:08:55,     8.89,        15.37,  14978305.00,
01/16/2024 17:13:55,     8.82,         9.61,  14978305.00,
01/16/2024 17:18:55,     8.86,        29.78,  14978305.00,
01/16/2024 17:23:55,     8.97,         8.65,  14978305.00,
01/16/2024 17:28:55,     8.76,        12.49,  14978305.00,
01/16/2024 17:33:55,     8.64,        11.53,  14978305.00,
01/16/2024 17:38:55,     8.72,        16.33,  14978305.00,
01/16/2024 17:43:55,     9.03,         6.72,  14978305.00,
01/16/2024 17:48:55,     8.91,        24.98,  14978305.00,
01/16/2024 17:53:55,     8.44,        11.53,  14978305.00,
01/16/2024 17:58:55,     8.74,         4.80,  14978305.00,
01/16/2024 18:03:55,     8.82,        19.21,  14978305.00,
01/16/2024 18:08:55,     8.93,         3.84,  14978305.00,
01/16/2024 18:13:55,     8.89,         5.76,  14978305.00,
01/16/2024 18:18:55,     8.42,        11.53,  14978305.00,
01/16/2024 18:23:55,     8.74,        10.57,  14978305.00,
01/16/2024 18:28:55,     8.64,         3.84,  14978305.00,
01/16/2024 18:33:55,     8.99,        10.57,  14978305.00,
01/16/2024 18:38:55,     8.33,         7.69,  14978305.00,
01/16/2024 18:43:55,     8.68,        10.57,  14978314.00,
01/16/2024 18:48:55,     8.89,         9.61,  14978398.00,
01/16/2024 18:53:55,     8.80,         5.76,  14978398.00,
01/16/2024 18:58:55,     8.40,         3.84,  14978398.00,
01/16/2024 19:03:55,     8.66,        25.94,  14978398.00,
01/16/2024 19:08:55,     8.72,         5.76,  14978398.00,
01/16/2024 19:13:55,     8.72,         7.69,  14978398.00,
01/16/2024 19:18:55,     8.80,        13.45,  14978398.00,
01/16/2024 19:23:55,     8.74,         6.72,  14978398.00,
01/16/2024 19:28:55,     8.82,         6.72,  14978398.00,
01/16/2024 19:33:55,     8.80,        18.25,  14978398.00,
01/16/2024 19:38:55,     8.76,         7.69,  14978398.00,
01/16/2024 19:43:55,     8.80,        20.17,  14978398.00,
01/16/2024 19:48:55,     8.58,        88.38,  14978501.00,
01/16/2024 19:53:55,     8.95,        14.41,  14978553.00,
01/16/2024 19:58:55,     8.62,        37.47,  14978554.00,
01/16/2024 20:03:55,     8.80,         9.61,  14978562.00,
01/16/2024 20:08:55,     8.78,        10.57,  14978562.00,
01/16/2024 20:13:55,     8.95,        11.53,  14978562.00,
